,sig_id,absolute_exposure,relative_exposure,url,aetiology,comments,gist
0,SBS32,18722.2732085544,0.10694499054670703,https://cancer.sanger.ac.uk/signatures/sbs/sbs32,Prior treatment with azathioprine to induce immunosuppression,none,Azathioprine
1,SBS6,16245.0883291738,0.09279486515558955,https://cancer.sanger.ac.uk/signatures/sbs/sbs6,SBS6 is associated with defective DNA mismatch repair and is found in microsatellite unstable tumours,"SBS6 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI), and is often found in the same samples as other MSI associated signatures: SBS14, SBS15, SBS20, SBS21, SBS26, and SBS44","MMR, MSI"
2,SBS29,14860.1633091244,0.08488392445265143,https://cancer.sanger.ac.uk/signatures/sbs/sbs29,SBS29 has been found in cancer samples from individuals with a tobacco chewing habit,"The pattern of C>A mutations in SBS29 appears different from the pattern of mutations due to tobacco smoking reflected by <a href=""/signatures/sbs/sbs4/"">SBS4</a>",Tobacco
3,SBS30,13465.1960085343,0.07691562043781579,https://cancer.sanger.ac.uk/signatures/sbs/sbs30,SBS30 is due to deficiency in base excision repair due to inactivating mutations in NTHL1,none,NTHL1
4,SBS40,11744.9256841775,0.06708912706669787,https://cancer.sanger.ac.uk/signatures/sbs/sbs40,Unknown,Numbers of mutations attributed to SBS40 are correlated with patients’ ages for some types of human cancer,Age
5,SBS84,8864.50048942195,0.0506356204976943,https://cancer.sanger.ac.uk/signatures/sbs/sbs84,Activity of activation-induced cytidine deaminase (AID),SBS84 is found in clustered mutations in the immunoglobulin gene and other regions in lymphoid cancers,AID
6,SBS44,7364.23377967568,0.04206582732652935,https://cancer.sanger.ac.uk/signatures/sbs/sbs44,Defective DNA mismatch repair,"SBS44 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS21, and SBS26","MMR, MSI"
7,SBS12,5875.35680628056,0.03356109437710321,https://cancer.sanger.ac.uk/signatures/sbs/sbs12,Unknown,SBS12 usually contributes a small percentage (<20%) of the mutations observed in liver cancer samples,Liver
8,SBS89,5086.2532237502,0.02905359284488954,https://cancer.sanger.ac.uk/signatures/sbs/sbs89,Unknown,SBS89 appears to be most active in the first decade of life,Age
9,SBS3,4880.60490465335,0.0278788926737741,https://cancer.sanger.ac.uk/signatures/sbs/sbs3,Defective homologous recombination-based DNA damage repair which manifests predominantly as small indels and genome rearrangements due to abnormal double strand break repair but also in the form of this base substitution signature,"SBS3 is strongly associated with germline and somatic BRCA1 and BRCA2 mutations and BRCA1 promoter methylation in breast, pancreatic, and ovarian cancers. In pancreatic cancer, responders to platinum therapy usually exhibit SBS3 mutations. Together with associated indel and rearrangement signatures, SBS3 has been proposed as a predictor of defective homologous recombination-based repair and thus of response to therapies exploiting this repair defect",BRCA
